@@,item,itemlabel
->,Q6301957,Jibril Aminu->Jubril Aminu
->,Q5991127,Ifeanyi Ararume->Ifeanyi Godwin Araraume
->,Q4868127,Bassey Ewa-Henshaw->Bassey Henshaw
->,Q4665788,Abdulazeez Ibrahim->Abubakar Ibrahim
->,Q378378,Victor Ndoma-Egba->Victor Ndoma Egbe
---,Q6893199,Mohammed Mana
---,Q6737104,Maitama Bello Yusuf
---,Q6736241,Maina Maaji Lawan
---,Q6080812,Isiaka Adetunji Adeleke
---,Q5373326,Emmanuel Paulker
---,Q4849691,Bala Mohammed
---,Q30069968,Usman Umar Kibiya
---,Q13140760,Nimi Barigha-Amange
---,Q111153569,Maina Isa
---,Q111148854,Owie Roland Stephen
+++,,Cosmos Niagwan
+++,,Ugbane Yahaye
+++,,Rufai Sani Hanga
+++,,Dalha Ahmed Danzomo
+++,,Bello M. Yusuf
+++,,Spiff Inatim Rufus
+++,,John Brambaifa
+++,,Ugochukwu Uba
+++,,Aniette Okon
+++,,Itak Bob Ekarika
