item,itemLabel,party,partyLabel,area,areaLabel,startDate,endDate,gender,psid
Q35538989,Abdukadir Rahis,Q4729266,All Progressives Congress,,,2015-06-09,2019-06-09,,Q35538989-8DCAA1D2-6FCE-4D28-BE66-D905B91FEDC0
Q35538256,Abdul-malik Zubairu,Q4729266,All Progressives Congress,,,2015-06-09,2019-06-09,,Q35538256-083F9EB8-F0F6-44E9-826D-1113489F3931
Q35537917,Abdulahi Faruk,Q4729266,All Progressives Congress,,,2015-06-09,2019-06-09,,Q35537917-73442A23-783D-4C88-B672-29BC938A2C29
Q35538977,Abdullahi Garba,Q4729266,All Progressives Congress,,,2015-06-09,2019-06-09,male,Q35538977-58C7D788-2C9C-49C6-B873-C0740B541142
Q35538616,Abdullahi Hassan,Q4729266,All Progressives Congress,,,2015-06-09,2019-06-09,,Q35538616-30BB59BB-F62D-4551-9DC7-195C6A07E8E5
Q35536424,Abdullahi Mohammed,Q4729266,All Progressives Congress,,,2015-06-09,2019-06-09,,Q35536424-E8287173-DD5E-473D-BDE1-BB85BE484F44
Q35537679,Abdullahi Mohammed,Q4729266,All Progressives Congress,,,2015-06-09,2019-06-09,,Q35537679-B4373DB8-880F-4BF3-BE70-B8D07EB7EA79
Q35539653,Abdulmumin Jibrin,Q4729266,All Progressives Congress,,,2015-06-09,2019-06-09,,Q35539653-9141281A-E605-48DB-8E98-AD65F812604B
Q29834852,Abdulrahman Shuaibu Abubakar,Q4729266,All Progressives Congress,,,2015-06-09,2019-06-09,male,Q29834852-16E75E98-FA64-4DDC-8CD5-CAB7F9CDA83E
Q35538173,Abdulrazak Namdas,Q4729266,All Progressives Congress,,,2015-06-09,2019-06-09,male,Q35538173-C9FF3C38-819D-4F3B-A1B8-941BF7A85C85
Q24668829,Abdussamad Dasuki,,,,,2015-06-09,2019-06-09,male,Q24668829-B8309A0A-0CD6-49C7-9AE1-3813515F3402
Q35540162,Abiodun Awoleye,Q4729266,All Progressives Congress,,,2015-06-09,2019-06-09,,Q35540162-B7D5CE38-F301-49B3-A1EB-59392B76CC88
Q35537627,Abiodun Olasupo,Q4729266,All Progressives Congress,,,2015-06-09,2019-06-09,,Q35537627-42817547-B487-4C85-9F2A-231C0EDB5E91
