item,itemLabel,party,partyLabel,constituency,constituencyLabel,startDate,endDate,gender,psid
Q104531225,Abass Adigun,Q1551163,PDP,Q59681463,Ibadan North East/Ibadan South East,2019-06-11,,male,Q104531225-9C93C173-2F78-4976-81E5-21AC21462A27
Q111141384,Abdulganiyu Saka Cook Olododo,Q4729266,APC,Q59681303,Ilorin East/Ilorin South,2019-06-11,,,Q111141384-943C7803-B03D-47E8-BC79-A4458A0BE8A4
Q111141422,Abdulkadir Rahis,Q4729266,APC,Q59681053,Maiduguri (Metropolitan),2019-06-11,,,Q111141422-981E609F-0589-41F2-90FF-0EBDBE39E5FC
Q111141429,Abdulkareem Usman Isah,Q4729266,APC,,,2019-06-11,,,Q111141429-F05BDF06-3428-46EA-904E-4A959AD3D4EF
Q111141430,Abdulkarim Usman,Q1551163,PDP,Q59681359,Akwanga/Nassarawa Eggon/Wamba,2019-06-11,,,Q111141430-945053D8-E53C-4F40-9E07-98A03CFC7735
Q4666128,Abdullahi Balarabe Salame,Q4729266,APC,Q59681505,Illela/Gwadabawa,2019-06-11,,male,Q4666128-30B0B593-4EA1-40FF-800E-5A74B07DD985
Q35538977,Abdullahi Garba,Q4729266,APC,Q59681388,Kontagora/Wushishi/Mariga/Mashegu,2019-06-11,,male,Q35538977-528CFA79-907C-491B-8E54-9CE05E551B69
Q104479987,Abdullahi Mahmud Gaya,Q4729266,APC,Q59681204,Alabasu/Gaya/Ajingi,2019-06-11,,male,Q104479987-76E21EC2-85AA-4035-BB65-C943C85B0304
Q111141431,Abdullahi Mamudu,Q4729266,APC,Q59681370,Agaie/Lapai,2019-06-11,,,Q111141431-0A0220E7-C28D-49EF-8694-7BE3CB3598E3
Q111141433,Abdullahi Sa'ad Abdulkadir,Q4729266,APC,Q59680999,Ningi/Warji,2019-06-11,,,Q111141433-121A2DB3-18E0-4E0B-8F4A-83766DCD78B3
Q4666159,Abdulmumin Jibrin,Q4729266,APC,Q59681206,Bebeji/Kiru,2019-06-11,2019-11-01,male,Q4666159-2190E8E0-B3CC-4BF5-B51C-9710FA55B902
Q111141434,Abdulmumin Muhammed Ari,Q4729266,APC,Q59681369,Nassarawa/Toto,2019-06-11,,,Q111141434-7991C005-8D5C-4634-862B-522FFC0F6038
Q104521447,Abdulrauf Abdulkadir Modibbo,Q4729266,APC,Q59680943,Yola North/Yola South/Girei,2019-06-11,2019-06-30,male,Q104521447-7F5306CB-F3E6-4F77-9D19-3DBE113B97C4
Q35538173,Abdulrazak Namdas,Q4729266,APC,,,2019-06-11,,male,Q35538173-B66E5307-D92E-49DA-8207-523E93F0DD71
Q104521800,Abdulsalam Gambo Mubarak,Q4729266,APC,Q59681515,Bali/Gassol,2019-07-16,,male,Q104521800-7D1B36B9-3321-490F-94FC-F0187CA4353B
Q111141435,Abdulyekeen Alajagusi,Q4729266,APC,,,2019-06-11,,,Q111141435-0CC8A75B-BBF7-4A42-94C6-D8374B3CBF77
Q78170274,Abiodun Faleke,Q4729266,APC,Q59681330,Ikeja,2019-06-11,,male,Q78170274-0FD0D118-5E5C-43D5-8F1B-3B79D1936BC7
Q77569924,Abiola Makinde,Q60143323,ADC,Q59681422,Ondo East/Ondo West,2019-06-11,2021-02-23,male,Q77569924-1F9A08FB-62E4-4257-AE37-743E791C0365
Q77569924,Abiola Makinde,Q4729266,APC,Q59681422,Ondo East/Ondo West,2021-02-23,,male,Q77569924-3AC10C2C-F38F-49C9-A284-F06A6078DFC0
