position,person,personID,start,end,gender,DOB,DOD,image,enwiki
President,Olusegun Obasanjo,Q202006,1999-05-29,2007-05-29,male,1937-03-05,,Olusegun Obasanjo DD-SC-07-14396-cropped.jpg,Olusegun Obasanjo
President,Umaru Musa Yar'Adua,Q104705,2007-05-29,2010-05-05,male,1951-08-16,2010-05-05,Umaruyaradua07052007.jpg,Umaru Musa Yar'Adua
President,Goodluck Jonathan,Q57380,2010-05-05,2015-05-29,male,1957-11-20,,Goodluck Jonathan World Economic Forum 2013.jpg,Goodluck Jonathan
President,Muhammadu Buhari,Q361567,2015-05-29,,male,1942-12-17,,Muhammadu Buhari.jpg,Muhammadu Buhari
Vice President,Atiku Abubakar,Q755878,1999-05-29,2007-05-29,male,1946-11-25,,Atiku Abubakar.jpg,Atiku Abubakar
Vice President,Goodluck Jonathan,Q57380,2007-05-29,2010-05-05,male,1957-11-20,,Goodluck Jonathan World Economic Forum 2013.jpg,Goodluck Jonathan
Vice President,Namadi Sambo,Q2993602,2010-05-19,2015-05-29,male,1954-08-02,,Namadi Sambo.jpg,Namadi Sambo
Vice President,Yemi Osinbajo,Q19730927,2015-05-29,,male,1957-03-08,,Yemi Osinbajo 2017-05-27.jpg,Yemi Osinbajo
Minister of Agriculture and Rural Development,Sani Daura,Q7418244,1999-05-29,2000,male,,,,Sani Daura
Minister of Agriculture and Rural Development,Hassan Adamu,Q35540105,2000,2001-01,,,,,
Minister of Agriculture and Rural Development,Adamu Bello,Q4680539,2001-02,2007-01,male,1951-05-20,,ALHAJI ADAMU BELLO.JPG,Adamu Bello
Minister of Agriculture and Rural Development,Sheikh Ahmed Abdullah,Q16119970,2010-02-09,2011-07,male,1948-03-15,,,Sheikh Ahmed Abdullah
Minister of Agriculture and Rural Development,Audu Innocent Ogbeh,Q4820218,2015-11-11,2019-05-28,male,1947-07-28,,,Audu Innocent Ogbeh
Minister of Agriculture and Rural Development,Sabo Nanono,Q108041810,2019-08-21,2021-09-01,male,1946-04-11,,,Sabo Nanono
Minister of Agriculture and Rural Development,Muhammad Mahmood Abubakar,Q109252006,2021-09-01,,male,,,,
Minister of Agriculture and Water Resources,Adamu Bello,Q4680539,2007-01,2007-05,male,1951-05-20,,ALHAJI ADAMU BELLO.JPG,Adamu Bello
Minister of Agriculture and Water Resources,Abba Sayyadi Ruma,Q4663663,2007-07-26,2010-03-17,male,1962-03-13,2021-10-27,,Abba Sayyadi Ruma
Minister of Aviation,Olusegun Agagu,Q7088858,1999-05-29,2000,male,1948-02-16,2013-09-13,,Olusegun Agagu
Minister of Aviation,Kema Chikwe,Q6386808,2001,2003,female,1951-09-14,,Kema chikwe.jpg,Kema Chikwe
Minister of Aviation,Isa Yuguda,Q6075740,2003-05,2005-06,male,1956-06-15,,,Isa Yuguda
Minister of Aviation,Babalola Borishade,Q4837483,2005-07,2006-11,male,1946-03-07,2017-04-26,,Babalola Borishade
Minister of Aviation,Femi Fani-Kayode,Q5442790,2006-11-07,2007-05-29,male,1960-10-16,,Femi fani kayode.jpg,Femi Fani-Kayode
Minister of Aviation,Felix Hyatt,Q5442236,2007-06,2008-10-29,male,1954-11-26,,,Felix Hyat
Minister of Aviation,Babatunde Omotoba,Q4837548,2008-12-17,2010-03-17,male,1969-09-27,,,Babatunde Omotoba
Minister of Aviation,Fidelia Njeze,Q5446753,2010-04-06,2011-05-29,female,1964-06-08,,,Fidelia Njeze
Minister of Aviation,Oduah Stella,Q7607111,2011-07-04,2014-02-12,female,1962-01-05,,Princess Stella Oduah-Ogiemwonyi.jpg,Stella Oduah
Minister of Aviation,Samuel Ioraer Ortom,Q18354225,2014-02-14,2014-08-15,male,1961-04-23,,,Samuel Ortom
Minister of Aviation,Osita Chidoka,Q54913558,2014-07,2015-05,male,1971-07-18,,,Osita Chidoka
Minister of Aviation,Sirika Hadi,Q7530281,2015-11-11,2019-05-28,male,1964-03-02,,HadiSirika.jpg,Hadi Sirika
Minister of Aviation,Sirika Hadi,Q7530281,2019-08-22,,male,1964-03-02,,HadiSirika.jpg,Hadi Sirika
Minister of Budget and National Planning,Abdallah Wali,Q4664673,2007-01,2007-06,male,,,,Abdallah Wali
Minister of Budget and National Planning,Mohammed Daggash,Q6893057,2007-07,2008-10,male,1960-12-22,,Daggash at council meeting.jpg,Mohammed Daggash
Minister of Budget and National Planning,Shamsuddeen Usman,Q7487781,2009-01,2011-05-29,male,1949-09-18,,Shamsudeen.jpg,Shamsuddeen Usman
Minister of Budget and National Planning,Shamsuddeen Usman,Q7487781,2011-08,2013-09-11,male,1949-09-18,,Shamsudeen.jpg,Shamsuddeen Usman
Minister of Budget and National Planning,Clement Agba,Q107453260,2021-08-21,,male,1964,,,
Minister of Communications,Mohammed Arzika,Q6892990,1999-06,2001-06-12,male,1943-04,2015-06-05,,Mohammed Arzika
Minister of Communications,Haliru Mohammed Bello,Q5642458,2001-06,2003-05,male,1945-10-09,,,Haliru Mohammed Bello
Minister of Communications,Cornelius Adebayo,Q5171295,2003-07,2006-08,male,1941-02-24,,,Cornelius Adebayo
Minister of Communications,Obafemi Anibaba,Q7074572,2006-09,2007-01,male,,,,Obafemi Anibaba
Minister of Communications,Abdur-Raheem Adebayo Shittu,Q22002965,2015-11-11,2019-05-28,male,1953-03-23,,Abdur-Raheem Adebayo Shittu - ITU Telecom World 2016 - Ministerial Roundtable (22818514728).jpg,Abdur-Raheem Adebayo Shittu
Minister of Communications,Isa Ali Pantami,Q42916213,2019-08-21,,male,1972-10-20,,Pantami.jpg,Isa Ali Pantami
Minister of Commerce and Industry,Mustapha Bello,Q6943425,1999-06,2002,male,1954-01-31,,,Mustafa Bello
Minister of Commerce and Industry,Precious Ngelale,Q111164173,2002,2003-05,,,,,
Minister of Commerce and Industry,Idris Waziri,Q16886471,2003-07,2006-06,male,1952-10-12,,,Idris Waziri
Minister of Commerce and Industry,Aliyu Modibbo Umar,Q4727559,2006-07,2007-07,male,1958-11-15,,,Aliyu Modibbo Umar
Minister of Commerce and Industry,Charles Ugwuh,Q5083072,2007-07,2008-10,male,1942-12-03,,,Charles Ugwuh
Minister of Commerce and Industry,Achike Udenwa,Q3510857,2008-12-17,2010-03-17,male,1948,,,Achike Udenwa
Minister of Commerce and Industry,Jubril Martins-Kuye,Q13140721,2010-02-09,2011-07,male,1942-08-16,2021-01-17,,Jubril Martins-Kuye
Minister of Co-operation and Integration,Jerry Gana,Q6183625,1999-06,2001-01,male,1945-11-30,,Professor Jerry Gana.jpg,Jerry Gana
Minister of Culture and Tourism,Ojo Maduekwe,Q3349989,1999-06,2000-01,male,1945-05-06,2016-06-29,Ojo Maduekwe cropped.jpg,Ojo Maduekwe
Minister of Culture and Tourism,Alabo Graham-Douglas,Q4705424,2000-07,2001-01-30,male,1939-05-08,,,Alabo Graham-Douglas
Minister of Culture and Tourism,Boma Jack,Q111164390,2001-02,2003,,,,,
Minister of Culture and Tourism,Frank Ogbuewu,Q5488792,2003-07,2006-06,male,1953-12-12,,Ambassador Ogbuewu.jpg,Frank Ogbuewu
Minister of Culture and Tourism,Femi Fani-Kayode,Q5442790,2006-06-06,2006-11-07,male,1960-10-16,,Femi fani kayode.jpg,Femi Fani-Kayode
Minister of Culture and Tourism,Babalola Borishade,Q4837483,2006-11,2007-05,male,1946-03-07,2017-04-26,,Babalola Borishade
Minister of Culture and Tourism,Adetokunbo Kayode,Q4682392,2007-07-26,2008-11-07,male,1958-10-31,,,Adetokunbo Kayode
Minister of Culture and Tourism,Bello Jibrin Gada,Q4884085,2008-12-17,2010-03-17,male,1954,,,Bello Jibrin Gada
Minister of Culture and Tourism,Abubakar Sadiq A. Mohammed,Q4670497,2010-02-09,2011-07,male,1961-10-14,,,Abubakar Sadiq A. Mohammed
Minister of Defence,Theophilus Danjuma,Q7782290,1999-06,2003-05,male,1938-12-09,,TY-Danjuma2.gif,Theophilus Danjuma
Minister of Defence,Rabiu Kwankwaso,Q3509922,2003-07,2006-08,male,1956-10-21,,Dr Rabiu Musa Kwankwaso.jpg,Rabiu Kwankwaso
Minister of Defence,Thomas Aguiyi-Ironsi,Q7786963,2006-08-30,2007-07-26,male,,,,Thomas Aguiyi-Ironsi
Minister of Defence,Yayale Ahmed,Q8050511,2007-07-26,2008-09-08,male,1952-04-15,,Yayale Ahmed 2010.jpg,Yayale Ahmed
Minister of Defence,Shettima Mustapha,Q7495679,2008-12-17,2009-07-14,male,1939-11-26,,,Shettima Mustapha
Minister of Defence,Godwin Abbe,Q5576962,2009-07-14,2010-03-17,male,1949-01-10,,Godwin Abbe 2.jpg,Godwin Abbe
Minister of Defence,Adetokunbo Kayode,Q4682392,2010-04-06,2011-07,male,1958-10-31,,,Adetokunbo Kayode
Minister of Defence,Haliru Mohammed Bello,Q5642458,2011-07,2012-06-22,male,1945-10-09,,,Haliru Mohammed Bello
Minister of Defence,Olusola Obada,Q23011134,2012-07,2013-09,female,1951-06-27,,,Olusola Obada
Minister of Defence,Labaran Maku,Q17541403,2013-09,2014-03,male,1962-01-01,,,Labaran Maku
Minister of Defence,Aliyu Mohammed Gusau,Q4727556,2014-03-05,2015-05,male,1943-05-18,,,Aliyu Mohammed Gusau
Minister of Defence,Mansur Dan Ali,Q23541058,2015-11-11,2019-05-29,male,1959-08-25,,"Mansur Dan Ali - Sambisa Forest, 2017.png",Mansur Dan Ali
Minister of Defence,Bashir Salihi Magashi,Q4866857,2019-08-21,,male,,,,Bashir Salihi Magashi
Minister of Education,Tunde Adeniran,Q60603714,1999-06,2001-01,male,1945,,,Tunde Adeniran
Minister of Education,Babalola Borishade,Q4837483,2001-02,2003-05,male,1946-03-07,2017-04-26,,Babalola Borishade
Minister of Education,Fabian Osuji,Q5427671,2003-07,2005-03,male,1942-01-20,,,Fabian Osuji
Minister of Education,Chinwe Obaji,Q5101376,2005-06,2006-06,female,,,,Chinwe Obaji
Minister of Education,Obiageli Katryn Ezekwesili,Q7074927,2006-06,2007-04,female,1963-04-28,,"Obiageli Katryn Ezekwesili, 2009 World Economic Forum on Africa.jpg",Oby Ezekwesili
Minister of Education,Igwe Aja-Nwachukwu,Q5994480,2007-07-26,2008-12-17,male,1952-03-31,2015-11-17,,Igwe Aja-Nwachukwu
Minister of Education,Sam Egwu,Q3510864,2008-12-17,2010-03-17,male,1954-06-20,,,Sam Egwu
Minister of Education,Ruqayyah Ahmed Rufa'i,Q7380458,2010-04-06,2013-09-11,female,1958,,,Ruqayyah Ahmed Rufa'i
Minister of Education,Adamu Adamu,Q41559149,2015-11-11,,male,1956-05-25,,Adam-Adamu.jpg,Adamu Adamu
Minister of the Environment,Hassan Adamu,Q35540105,1999-06,2000,,,,,
Minister of the Environment,Sani Daura,Q7418244,2000,2001-01-30,male,,,,Sani Daura
Minister of the Environment,Mohammed Kabir Said,Q111164251,2001-02,2003,,,,,
Minister of the Environment,Bala Mande,Q4849689,2003-07,2005-06,male,1958,,,Bala Mande
Minister of the Environment,Iyorchia Ayu,Q15437956,2005-06,2005-12,male,,,,Iyorchia Ayu
Minister of the Environment,Helen Esuene,Q5702218,2006-01,2007-01,female,1949-11-23,,,Helen Esuene
Minister of the Environment,Helen Esuene,Q5702218,2007-01,2007-05,female,1949-11-23,,,Helen Esuene
Minister of the Environment,Halima Tayo Alao,Q5642341,2007-07-26,2008-10-29,female,1956-12-06,,,Halima Tayo Alao
Minister of the Environment,John Odey,Q16193276,2008-12-17,2018-10-07,male,1959-11-01,2018-10-07,,John Odey
Minister of the Environment,Hadiza Mailafia,Q108303711,2011-07,2013-09,female,,,,Hadiza Mailafia
Minister of the Environment,Amina J. Mohammed,Q4746340,2015-11-11,2016-12-15,female,1961-06-27,,Amina J. Mohammed in London - 2018 (41824822362) (cropped).jpg,Amina J. Mohammed
Minister of the Environment,Ibrahim Jibril,Q60318992,2016-12-15,2018-12-12,male,1958-01-27,,Ibrahim Jibril - 2018 (cropped).jpg,Ibrahim Usman Jibril
Minister of the Environment,Suleiman Hassan Zarma,Q111086001,2018-12-13,2019-05-28,male,,,,
Minister of the Environment,Muhammad Mahmood Abubakar,Q109252006,2019-08-21,2021-09-10,male,,,,
Minister of the Environment,Mohammed Hassan Abdullahi,Q101245550,2022-04-06,,male,1968-04-21,,MOHAMMED HASSAN ABDULLAHI.jpg,Mohammed Hassan Abdullahi
Minister of the Federal Capital Territory,Ibrahim Bunu,Q5984501,1999,2001-02-08,male,1950-12-25,,,Ibrahim Bunu
Minister of the Federal Capital Territory,Mohammed Abba Gana,Q6892827,2001-02-08,2003-07-17,male,1943,,,Mohammed Abba Gana
Minister of the Federal Capital Territory,Nasir Ahmad el-Rufai,Q6082944,2003-07-17,2007-07-27,male,1960-02-16,,,Nasir Ahmad el-Rufai
Minister of the Federal Capital Territory,Aliyu Modibbo Umar,Q4727559,2007-07-27,2008-10-29,male,1958-11-15,,,Aliyu Modibbo Umar
Minister of the Federal Capital Territory,Adamu Aliero,Q3510712,2008-12-17,2010-04-08,male,1957-01-01,,,Adamu Aliero
Minister of the Federal Capital Territory,Bala Mohammed,Q4849691,2010-04-08,2015-05-29,male,1958-10-05,,,Bala Mohammed
Minister of the Federal Capital Territory,Mohammed Musa Bello,Q59829052,2015-05-29,,male,1959-01,,,Mohammed Musa Bello
Minister of Finance,Adamu Ciroma,Q3914988,1999-06,2003-05,male,1934-11-20,2018-07-05,"Mallam Adamu Ciroma, IMF 62ph020927tl.jpg",Adamu Ciroma
Minister of Finance,Ngozi Okonjo-Iweala,Q289350,2003-07-15,2006-06-21,female,1954-06-13,,"Okonjo-Iweala, Ngozi (2008 portrait).jpg",Ngozi Okonjo-Iweala
Minister of Finance,Nenadi Usman,Q3510785,2006-07,2007-05,female,1966-11-12,,,Nenadi Usman
Minister of Finance,Shamsuddeen Usman,Q7487781,2007-06,2008-12,male,1949-09-18,,Shamsudeen.jpg,Shamsuddeen Usman
Minister of Finance,Mansur Muhtar,Q6751897,2008-12-17,2010-03-17,male,1959-09-21,,,Mansur Muhtar
Minister of Finance,Olusegun Olutoyin Aganga,Q7088859,2010-04-06,2011-06,male,1955,,"Aganga, Olusegun Olutoyin (IMF).jpg",Olusegun Olutoyin Aganga
Minister of Finance,Ngozi Okonjo-Iweala,Q289350,2011-08-17,2015-05-29,female,1954-06-13,,"Okonjo-Iweala, Ngozi (2008 portrait).jpg",Ngozi Okonjo-Iweala
Minister of Finance,Kemi Adeosun,Q21500792,2015-11-11,2018-09-14,female,1967-03-09,,,Kemi Adeosun
Minister of Finance,Zainab Ahmed,Q42559242,2018-09-14,,female,1960-06-16,,Zainab Ahmed - 2016.jpg,Zainab Ahmed
Minister of Foreign Affairs,Sule Lamido,Q3041557,1999,2003,male,1948-08-30,,,Sule Lamido
Minister of Foreign Affairs,Oluyemi Adeniji,Q7088880,2003-07,2006-06,male,1934-07-22,2017-11-26,"The External Affairs Minister Shri K. Natwar Singh meeting with the Foreign Minister of Nigeria Mr. Amb. Olu Adeniji in New Delhi on March 22, 2005.jpg",Oluyemi Adeniji
Minister of Foreign Affairs,Ngozi Okonjo-Iweala,Q289350,2006-06-21,2006-08-30,female,1954-06-13,,"Okonjo-Iweala, Ngozi (2008 portrait).jpg",Ngozi Okonjo-Iweala
Minister of Foreign Affairs,Joy Ogwu,Q3187207,2006-08-30,2007-05-29,female,1946-08-23,,,Joy Ogwu
Minister of Foreign Affairs,Ojo Maduekwe,Q3349989,2007-07-26,2010-03-17,male,1945-05-06,2016-06-29,Ojo Maduekwe cropped.jpg,Ojo Maduekwe
Minister of Foreign Affairs,Martin Ihoeghian Uhomoibhi,Q6775749,2010,2010,male,1954-11-03,,"Martin Uhomoibhi, Permanent Secretary in Ecuador.jpg",Martin Ihoeghian Uhomoibhi
Minister of Foreign Affairs,Henry Odein Ajumogobia,Q2014261,2010-04-06,2011-07-09,male,1956-06-29,,Henry Odein Ajumogobia and Clinton 2010 - crop.jpg,Henry Odein Ajumogobia
Minister of Foreign Affairs,Olugbenga Ashiru,Q18604150,2011-07,2013,male,1948-08-27,2014-11-29,Olugbenga Ashiru 2013.jpg,Olugbenga Ashiru
Minister of Foreign Affairs,Viola Onwuliri,Q22678155,2013,2014,female,1955-06-18,,Viola Onwuliri crop.jpg,Viola Onwuliri
Minister of Foreign Affairs,Aminu Bashir Wali,Q19834500,2014,2015,male,1941-08-03,,,Aminu Bashir Wali
Minister of Foreign Affairs,Geoffrey Onyeama,Q21467394,2015,,male,1956-02-02,,Geoffrey Onyeama (25864152320) (cropped).jpg,Geoffrey Onyeama
Minister of Health,Tim Menakaya,Q111164259,1999-06,2001-02,,,,,
Minister of Health,ABC Nwosu,Q75159308,2001-02,2003,male,,,,
Minister of Health,Eyitayo Lambo,Q5422897,2003-07,2007-05,male,1944-12-28,,,Eyitayo Lambo
Minister of Health,Hassan Muhammed Lawal,Q5679764,2004,2008-12-17,male,1954-10-12,2018-03-24,,Hassan Muhammed Lawal
Minister of Health,Halima Tayo Alao,Q5642341,2005,2006-07,female,1956-12-06,,,Halima Tayo Alao
Minister of Health,Adenike Grange,Q4682217,2007-07-25,2008-03-26,female,,,,Adenike Grange
Minister of Health,Babatunde Osotimehin,Q4837550,2008-12-17,2010-03-17,male,1949-02-06,2017-06-04,Babatunde Osotimehin at the London Summit on Family Planning.jpg,Babatunde Osotimehin
Minister of Health,Onyebuchi Chukwu,Q7095166,2010-04-27,2014-10-20,male,1962-04-22,,Onyebuchi Chukwu.jpg,Onyebuchi Chukwu
Minister of Health,Khaliru Alhassan,Q75158529,2015-03,2015-05,male,,2020-05-10,,
Minister of Health,Isaac Folorunso Adewole,Q21062079,2015-11-11,2019-05,male,1954-05-05,,Prof. Isaac F. Adewole (cropped).jpg,Isaac Folorunso Adewole
Minister of Health,Osagie Emmanuel Ehanire,Q62670421,2019-08,,male,1946,,,Osagie Ehanire
Minister of Housing,Rahman Mimiko,Q111163411,2005-06,2007-01,,,,,
"Minister of Humanitarian Affairs, Disaster Management and Social Development",Sadiya Umar Farouq,Q20195461,2019-08-21,,female,1974-11-05,,Hon. Sadiya Umar Farouq.jpg,Sadiya Umar Farouq
"Minister of Industry, Trade and Investment",Iyorchia Ayu,Q15437956,1999-06,2001,male,,,,Iyorchia Ayu
"Minister of Industry, Trade and Investment",Stephen Akiga,Q7608562,2000,2001-01-30,male,1942,2004-09-06,,Stephen Akiga
"Minister of Industry, Trade and Investment",Kolawole Babalola Jamodu,Q111164283,2001-02,2003-05,,,,,
"Minister of Industry, Trade and Investment",Magaji Muhammed,Q16105433,2003-05,2005-07-13,male,1940-12-31,2017-04-15,,Magaji Muhammed
"Minister of Industry, Trade and Investment",Fidelis Tapgun,Q5446772,2005-07-07,2007-01-10,male,,,,Fidelis Tapgun
"Minister of Industry, Trade and Investment",Samuel Ioraer Ortom,Q18354225,2011-07-11,2015-10-25,male,1961-04-23,,,Samuel Ortom
"Minister of Industry, Trade and Investment",Olusegun Olutoyin Aganga,Q7088859,2011-07-11,2013-03-09,male,1955,,"Aganga, Olusegun Olutoyin (IMF).jpg",Olusegun Olutoyin Aganga
"Minister of Industry, Trade and Investment",Olusegun Olutoyin Aganga,Q7088859,2013-03-09,2015-05-29,male,1955,,"Aganga, Olusegun Olutoyin (IMF).jpg",Olusegun Olutoyin Aganga
"Minister of Industry, Trade and Investment",Okechukwu Enelamah,Q27967823,2015-11-11,2019-05-28,male,1965,,"Opening plenary session, 11 December 2017 (38276323924) (cropped).jpg",Okechukwu Enelamah
"Minister of Industry, Trade and Investment",Niyi Adebayo,Q13140763,2019-08-21,,male,1958,,,Niyi Adebayo
Minister of Information and Communications,Frank Nweke,Q5488721,2007-01,2007-05,male,1965-09-18,,,Frank Nweke
Minister of Information and Communications,John Odey,Q16193276,2007-07-26,2008-12-17,male,1959-11-01,2018-10-07,,John Odey
